Resource ARN,Service Type,Tags
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/application/application-deployment-5bc599fd79-44b7b/4daa19ad-9797-4b21-9880-2f80fc2ce218,eks,"{'app': 'application', 'pod-template-hash': '5bc599fd79', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1b'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/kube-system/aws-node-qtnbd/bad64a45-2945-4c6f-82ec-2cbbeb2c206e,eks,"{'controller-revision-hash': '9db4b7894', 'app.kubernetes.io/name': 'aws-node', 'pod-template-generation': '1', 'app.kubernetes.io/instance': 'aws-vpc-cni', 'k8s-app': 'aws-node'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/kube-system/csi-secrets-store-provider-aws-bm929/7bbce784-1821-49dc-b16d-aa5c800dd83f,eks,"{'app': 'csi-secrets-store-provider-aws', 'controller-revision-hash': '66f57b995', 'pod-template-generation': '1', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1b'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/mysql/mysql-deployment-78bd466887-d45wg/16dca208-6db8-48ff-96ac-8c0ec16c1e36,eks,"{'app': 'mysql', 'pod-template-hash': '78bd466887', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1a'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/kube-system/aws-node-7f8xg/92c45f2d-4530-40cf-aa0a-977057a8a35a,eks,"{'controller-revision-hash': '9db4b7894', 'app.kubernetes.io/name': 'aws-node', 'pod-template-generation': '1', 'app.kubernetes.io/instance': 'aws-vpc-cni', 'k8s-app': 'aws-node'}"
arn:aws:elasticloadbalancing:us-east-1:960341592570:listener/net/a834ae293b94d4a9f8e91504075f9a6f/6e91dddd55aedeb0/c42f355c12a5b7b2,elasticloadbalancing,"{'kubernetes.io/service-name': 'nginx/nginx-service', 'kubernetes.io/cluster/task1-dev-us-east-1-daniel-katsenyuk-cluster': 'owned'}"
arn:aws:lambda:us-east-1:960341592570:function:StackSet-temp-8776f7e3-d77d-4057-97f6-a86570b493e7-fn,lambda,"{'aws:cloudformation:stack-name': 'StackSet-temp-8776f7e3-d77d-4057-97f6-a86570b493e7', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:960341592570:stack/StackSet-temp-8776f7e3-d77d-4057-97f6-a86570b493e7/d3dd0b60-0d5b-11f1-a99e-1232d70f8b2b', 'aws:cloudformation:logical-id': 'AthenaWorkgroupCleanupFunction'}"
arn:aws:secretsmanager:us-east-1:960341592570:secret:task1-dev-us-east-1-Daniel-Katsenyuk-generated-token-ucnzlC,secretsmanager,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-Daniel-Katsenyuk-secret'}"
arn:aws:sns:us-east-1:960341592570:aws-controltower-SecurityNotifications,sns,"{'aws:cloudformation:stack-name': 'StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-bf633fac-72dd-4276-b698-8308801ff356', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:960341592570:stack/StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-bf633fac-72dd-4276-b698-8308801ff356/76274240-0d5d-11f1-886e-0eaed18abfd1', 'aws:cloudformation:logical-id': 'LocalSecurityTopic'}"
arn:aws:ssm:us-east-1:960341592570:parameter/dev/dbserver/mysql/database,ssm,"{'Owner': 'Daniel Katsenyuk', 'Account-level-resource': 'True', 'Module-Number': '4'}"
arn:aws:ssm:us-east-1:960341592570:parameter/dev/dbserver/mysql/password,ssm,"{'Owner': 'Daniel Katsenyuk', 'Account-level-resource': 'True', 'Module-Number': '4'}"
arn:aws:ssm:us-east-1:960341592570:parameter/dev/dbserver/mysql/host,ssm,"{'Owner': 'Daniel Katsenyuk', 'Account-level-resource': 'True', 'Module-Number': '4'}"
arn:aws:backup:us-east-1:960341592570:recovery-point:084251fc-88c7-4654-9d87-33de03361c0f,backup,{'Name': 'mysql-efs'}
arn:aws:backup:us-east-1:960341592570:recovery-point:77cfa152-bd73-42b5-a5d0-dc579d6be2e5,backup,{'Name': 'mysql-efs'}
arn:aws:cloudformation:us-east-1:960341592570:stack/StackSet-WivOrgStackSet-e07f9266-c2dc-4506-bed3-aced29848802/d3891f00-0d5b-11f1-a02d-0affc07687c7,cloudformation,{'Wiv': 'Wiv Infrastructure'}
arn:aws:ec2:us-east-1:960341592570:internet-gateway/igw-0dcaacdfc5b6e9156,ec2,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-igw'}"
arn:aws:ec2:us-east-1:960341592570:launch-template/lt-04c5c24bef3aa67fc,ec2,"{'eks:cluster-name': 'task1-dev-us-east-1-daniel-katsenyuk-cluster', 'eks:nodegroup-name': 'task1-dev-us-east-1-daniel-katsenyuk-node-group'}"
arn:aws:ec2:us-east-1:960341592570:subnet/subnet-0e3f090b0b7214278,ec2,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-public-subnet-1'}"
arn:aws:ec2:us-east-1:960341592570:subnet/subnet-038ec3bf9438a0d3f,ec2,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-private-subnet-1'}"
arn:aws:ec2:us-east-1:960341592570:subnet/subnet-0c4a5d300fda699d0,ec2,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-public-subnet-2'}"
arn:aws:ecr:us-east-1:960341592570:repository/task1-dev-us-east-1-daniel-katsenyuk-nginx-repo,ecr,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-nginx-repo'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/keda/keda-admission-757b9b8b7b-j9r77/f6080479-6141-4a26-97d9-b566a605638a,eks,"{'app': 'keda-admission-webhooks', 'name': 'keda-admission-webhooks', 'pod-template-hash': '757b9b8b7b', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1a'}"
